experiment,config_name,method,nominal_k,compression_ratio,ppl,model_name,num_sequences,train_steps,ppl_before,ppl_delta,final_train_loss
finetune,baseline_k1,baseline,1,0.0,2.4673,EleutherAI/pythia-410m,500,2000,780709.7235,-780707.2561,0.9329
finetune,uniform_k2,uniform,2,0.5,3.1521,EleutherAI/pythia-410m,500,2000,2546726.9067,-2546723.7546,1.1934
finetune,uniform_k4,uniform,4,0.75,4.8915,EleutherAI/pythia-410m,500,2000,4659868.112,-4659863.2205,1.6507
finetune,uniform_k8,uniform,8,0.875,6.5319,EleutherAI/pythia-410m,500,2000,5532017.6159,-5532011.084,1.9016
finetune,dynamic_alt23,dynamic,2,0.6,3.6139,EleutherAI/pythia-410m,500,2000,1224969.9702,-1224966.3562,1.3365
finetune,dynamic_rnd24,dynamic,3,0.6667,4.1667,EleutherAI/pythia-410m,500,2000,2902318.7987,-2902314.632,1.4806
finetune,dynamic_rnd28,dynamic,5,0.8,5.2585,EleutherAI/pythia-410m,500,2000,2789888.0825,-2789882.824,1.711
finetune,weighted_uniform_k2,weighted,2,0.5,3.1521,EleutherAI/pythia-410m,500,2000,2546726.9067,-2546723.7546,1.1934
finetune,weighted_uniform_k4,weighted,4,0.75,4.8915,EleutherAI/pythia-410m,500,2000,4659868.112,-4659863.2205,1.6507
finetune,weighted_uniform_k8,weighted,8,0.875,6.5319,EleutherAI/pythia-410m,500,2000,5532017.6159,-5532011.084,1.9016
finetune,weighted_linear_k2,weighted,2,0.5,3.1381,EleutherAI/pythia-410m,500,2000,1903611.8164,-1903608.6782,1.1933
finetune,weighted_linear_k4,weighted,4,0.75,3.8717,EleutherAI/pythia-410m,500,2000,3538477.7959,-3538473.9242,1.4162
finetune,weighted_linear_k8,weighted,8,0.875,5.3562,EleutherAI/pythia-410m,500,2000,5116735.241,-5116729.8848,1.7078
finetune,weighted_exponential_k2,weighted,2,0.5,3.5447,EleutherAI/pythia-410m,500,2000,1642409.2208,-1642405.6761,1.3282
finetune,weighted_exponential_k4,weighted,4,0.75,4.0061,EleutherAI/pythia-410m,500,2000,2149643.164,-2149639.1578,1.4583
finetune,weighted_exponential_k8,weighted,8,0.875,4.443,EleutherAI/pythia-410m,500,2000,3868059.9474,-3868055.5044,1.5341
finetune,weighted_gaussian_k2,weighted,2,0.5,3.1521,EleutherAI/pythia-410m,500,2000,2546726.9067,-2546723.7546,1.1934
finetune,weighted_gaussian_k4,weighted,4,0.75,5.4486,EleutherAI/pythia-410m,500,2000,4001676.2742,-4001670.8255,1.7579
finetune,weighted_gaussian_k8,weighted,8,0.875,7.4141,EleutherAI/pythia-410m,500,2000,5399325.6809,-5399318.2667,2.0017
finetune,weighted_triangular_k2,weighted,2,0.5,3.1521,EleutherAI/pythia-410m,500,2000,2546726.9067,-2546723.7546,1.1934
finetune,weighted_triangular_k4,weighted,4,0.75,6.1825,EleutherAI/pythia-410m,500,2000,3341567.3058,-3341561.1233,1.8744
finetune,weighted_triangular_k8,weighted,8,0.875,7.6591,EleutherAI/pythia-410m,500,2000,5003237.5165,-5003229.8574,2.03
finetune,learnable_k2,learnable,2,0.5,3.1464,EleutherAI/pythia-410m,500,2000,2546726.9067,-2546723.7604,1.1933
finetune,learnable_k4,learnable,4,0.75,4.8658,EleutherAI/pythia-410m,500,2000,4659868.112,-4659863.2462,1.6442
finetune,learnable_k8,learnable,8,0.875,6.5106,EleutherAI/pythia-410m,500,2000,5532017.6159,-5532011.1053,1.9022
